id,value
Root.06040231B0001S.06040231B.06040091B,
Root.06040231B0002S.06040231B.06040091B,
Root.06040232B0001S.06040232B.06040220B,
Root.06040232B0001S.06040232B.06040221B,
Root.06040232B0001S.06040232B.06040181H,
Root.06040194B0002S.06040194B.06040041B,
Root.06040194B0001S.06040194B.06040041B,
Root.06040232B0001S.06040232B.06040212B,
Root.06040232B0001S.06040232B.06040198H,
Root.06040232B0001S.06040232B.06040199B,
Root.06040194B0002S.06040194B.06040059B,
Root.06040194B0001S.06040194B.06040059B,
Root.06040231B0001S.06040231B.06040173B,
Root.06040231B0002S.06040231B.06040173B,
Root.06040232B0001S.06040232B.06040172H,
Root.06040232B0001S.06040232B.06040206B,
Root.06040231B0001S.06040231B.06040147B,
Root.06040231B0002S.06040231B.06040147B,
Root.06040232B0001S.06040232B.06040229B,
Root.06040231B0001S.06040231B.06040144B,
Root.06040231B0002S.06040231B.06040144B,
Root.06040231B0001S.06040231B.06040115B,
Root.06040231B0002S.06040231B.06040115B,
Root.06040231B0001S.06040231B.06040126B,
Root.06040231B0002S.06040231B.06040126B,
Root.06040194B0002S.06040194B.06040033B,
Root.06040194B0001S.06040194B.06040033B,
Root.06040194B0002S.06040194B.06040078B,
Root.06040194B0001S.06040194B.06040078B,
Root.06040231B0001S.06040231B.06040097B,
Root.06040231B0002S.06040231B.06040097B,
Root.06040194B0002S.06040194B.06040018B,
Root.06040194B0001S.06040194B.06040018B,
Root.06040194B0002S.06040194B.06040058B,
Root.06040194B0001S.06040194B.06040058B,
Root.06040231B0001S.06040231B.06040023B,
Root.06040231B0002S.06040231B.06040023B,
Root.06040231B0001S.06040231B.06040098B,
Root.06040231B0002S.06040231B.06040098B,
Root.06040194B0002S.06040194B.06040066B,
Root.06040194B0001S.06040194B.06040066B,
Root.06040231B0001S.06040231B.06040137B,
Root.06040231B0002S.06040231B.06040137B,
Root.06040232B0001S.06040232B.06040216B,
Root.06040232B0001S.06040232B.06040175B,
Root.06040232B0001S.06040232B.06040203B,
Root.06040232B0001S.06040232B.06040174B,
Root.06040231B0001S.06040231B,
Root.06040231B0002S.06040231B,
Root.06040194B0002S.06040194B,
Root.06040194B0001S.06040194B,
Root.06040232B0001S.06040232B,
Root.06040231B0001S,
Root.06040231B0002S,
Root.06040194B0002S,
Root.06040194B0001S,
Root.06040232B0001S,
Root,
